l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
350101,毛纺,350100,纺织制造,350000,纺织服装
350102,棉纺,350100,纺织制造,350000,纺织服装
350103,丝绸,350100,纺织制造,350000,纺织服装
350104,印染,350100,纺织制造,350000,纺织服装
350105,辅料,350100,纺织制造,350000,纺织服装
350106,其他纺织,350100,纺织制造,350000,纺织服装
350202,男装,350200,服装家纺,350000,纺织服装
350203,女装,350200,服装家纺,350000,纺织服装
350204,休闲服装,350200,服装家纺,350000,纺织服装
350205,鞋帽,350200,服装家纺,350000,纺织服装
350206,家纺,350200,服装家纺,350000,纺织服装
350207,其他服装,350200,服装家纺,350000,纺织服装
360101,造纸,360100,造纸,360000,轻工制造
360201,包装印刷,360200,包装印刷,360000,轻工制造
360302,家具,360300,家用轻工,360000,轻工制造
360303,其他家用轻工,360300,家用轻工,360000,轻工制造
360304,珠宝首饰,360300,家用轻工,360000,轻工制造
360305,文娱用品,360300,家用轻工,360000,轻工制造
360401,其他轻工制造,360400,其他轻工制造,360000,轻工制造
370101,化学原料药,370100,化学制药,370000,医药生物
370102,化学制剂,370100,化学制药,370000,医药生物
370201,中药,370200,中药,370000,医药生物
370301,生物制品,370300,生物制品,370000,医药生物
370401,医药商业,370400,医药商业,370000,医药生物
370501,医疗器械,370500,医疗器械,370000,医药生物
370601,医疗服务,370600,医疗服务,370000,医药生物
410101,火电,410100,电力,410000,公用事业
410102,水电,410100,电力,410000,公用事业
410103,燃机发电,410100,电力,410000,公用事业
410104,热电,410100,电力,410000,公用事业
410201,水务,410200,水务,410000,公用事业
410301,燃气,410300,燃气,410000,公用事业
410401,环保工程及服务,410400,环保工程及服务,410000,公用事业
420101,港口,420100,港口,420000,交通运输
420201,高速公路,420200,高速公路,420000,交通运输
420301,公交,420300,公交,420000,交通运输
420401,航空运输,420400,航空运输,420000,交通运输
420501,机场,420500,机场,420000,交通运输
420601,航运,420600,航运,420000,交通运输
420701,铁路运输,420700,铁路运输,420000,交通运输
420801,物流,420800,物流,420000,交通运输
430101,房地产开发,430100,房地产开发,430000,房地产
430201,园区开发,430200,园区开发,430000,房地产
440101,银行,440100,银行,440000,金融服务
440201,多元金融,440200,多元金融,440000,金融服务
440301,证券,440300,证券,440000,金融服务
440401,保险,440400,保险,440000,金融服务
450101,百货零售,450100,零售,450000,商业贸易
450102,专业连锁,450100,零售,450000,商业贸易
450103,商业物业经营,450100,零售,450000,商业贸易
450201,贸易,450200,贸易,450000,商业贸易
460101,人工景点,460100,景点,460000,餐饮旅游
460102,自然景点,460100,景点,460000,餐饮旅游
460201,酒店,460200,酒店,460000,餐饮旅游
460301,旅游综合,460300,旅游综合,460000,餐饮旅游
460401,餐饮,460400,餐饮,460000,餐饮旅游
470101,通信运营,470100,通信运营,470000,信息服务
470201,互联网信息服务,470200,网络服务,470000,信息服务
470202,移动通讯增值服务,470200,网络服务,470000,信息服务
470203,其他网络服务,470200,网络服务,470000,信息服务
470204,有线电视网络,470200,网络服务,470000,信息服务
470302,软件开发及服务,470300,计算机应用,470000,信息服务
470303,系统集成,470300,计算机应用,470000,信息服务
470401,平面媒体,470400,传媒,470000,信息服务
470402,影视动漫,470400,传媒,470000,信息服务
470403,营销服务,470400,传媒,470000,信息服务
470404,其他传媒,470400,传媒,470000,信息服务
510101,综合,510100,综合,510000,综合
